script	dataset	fecha	learning_rate	feature_fraction	lambda_l1	lambda_l2	min_data_in_leaf	num_leaves	max_bin	best_iter	auc
lightgbm_BO	./datasets/dataset_caba.csv	20210801 000225	0.031009516697959	0.883434434381447	3.99274169675274	149.001354494664	350	600	255.021473455708	762	0.794303635200698
lightgbm_BO	./datasets/dataset_caba.csv	20210801 000231	0.0626056419300481	0.811661823592814	2.08106515492545	128.153230946711	274	555	255.05899993015	579	0.806562400357989
lightgbm_BO	./datasets/dataset_caba.csv	20210801 000238	0.0740827413470418	0.545911413045334	3.23724265771619	184.782899608503	237	701	255.051290599682	467	0.80781527634969
lightgbm_BO	./datasets/dataset_caba.csv	20210801 000322	0.056529238611942	0.707338847984959	2.76008770638977	132.398888018049	6	315	255.037235958715	689	0.81870969315801
lightgbm_BO	./datasets/dataset_caba.csv	20210801 000327	0.0460184111293139	0.627059946575069	3.00616987045422	30.1835974611874	197	641	255.026257155939	327	0.814765238603362
lightgbm_BO	./datasets/dataset_caba.csv	20210801 000337	0.0586817875865381	0.62912920067486	1.70555273478385	161.98145439682	163	197	255.070212329907	932	0.81736216687337
lightgbm_BO	./datasets/dataset_caba.csv	20210801 000341	0.0415126931082757	0.384721243980208	1.32183461599717	73.3066513020146	498	827	255.067301378522	366	0.767340819931176
lightgbm_BO	./datasets/dataset_caba.csv	20210801 000346	0.0386076194196773	0.889380915995155	1.93175325556825	11.901426782632	325	301	255.043836794138	378	0.796933856698328
lightgbm_BO	./datasets/dataset_caba.csv	20210801 000348	0.0974258828244638	0.33553584682356	0.442388472563055	52.6801173159454	466	423	255.085130840675	95	0.776642658160404
lightgbm_BO	./datasets/dataset_caba.csv	20210801 000352	0.082028416752915	0.840346704596387	0.620895530779048	42.6935144799895	182	743	255.039300388464	161	0.817756620308854
lightgbm_BO	./datasets/dataset_caba.csv	20210801 000359	0.0866978775237554	0.360047787234985	2.5032160713038	84.5737426358807	90	688	255.015610411446	348	0.817976960111923
lightgbm_BO	./datasets/dataset_caba.csv	20210801 000404	0.069982140759239	0.979411227588675	3.05431065532113	137.468279163087	230	559	255.030682516558	263	0.806006122157114
lightgbm_BO	./datasets/dataset_caba.csv	20210801 000420	0.0228563521914683	0.722536779002154	3.45309957583335	120.402991467355	150	127	255.079435400055	1540	0.816294238205437
lightgbm_BO	./datasets/dataset_caba.csv	20210801 000430	0.0232113116538052	0.400440827078585	0.250542885707026	58.992760829694	376	184	255.004198915704	1348	0.789652119862923
lightgbm_BO	./datasets/dataset_caba.csv	20210801 000435	0.0280408888690207	0.454756142711267	4.62722381606	2.61838926567829	430	101	255.092924509165	552	0.781978124406313
lightgbm_BO	./datasets/dataset_caba.csv	20210801 000444	0.091390097268408	0.2772576777331	2.314817388542	105.386204763116	52	57	255.077939425973	462	0.819621485822909
lightgbm_BO	./datasets/dataset_caba.csv	20210801 000506	0.0195196942008001	0.784089193333473	1.17119843905259	87.5333014576297	69	456	255.02050038334	1091	0.81956390303453
lightgbm_BO	./datasets/dataset_caba.csv	20210801 000514	0.0519171982985323	0.313776431352432	4.82144687170928	171.186971885618	309	778	255.099545667366	873	0.799906547198696
lightgbm_BO	./datasets/dataset_caba.csv	20210801 000518	0.0336973651194213	0.68509753149535	3.64280918629707	95.6979758887818	459	496	255.034398888374	455	0.777084798210238
lightgbm_BO	./datasets/dataset_caba.csv	20210801 000525	0.0780486205488809	0.76157714843617	3.8588810633103	45.7084017572924	87	351	255.073709174978	267	0.819525791448516
lightgbm_BO	./datasets/dataset_caba.csv	20210801 000528	0.095216026411924	0.526165587168985	0.873519162913518	26.2056083019291	398	868	255.009325991654	229	0.78490193740057
lightgbm_BO	./datasets/dataset_caba.csv	20210801 000537	0.0766313930022963	0.482821039063856	2.38347150381222	188.115244714676	133	232	255.011493910497	698	0.81691059421219
lightgbm_BO	./datasets/dataset_caba.csv	20210801 000556	0.0113241908431519	0.573720523801499	4.72492572959579	64.4125302754609	290	987	255.092802504278	2087	0.804561650855951
lightgbm_BO	./datasets/dataset_caba.csv	20210801 000621	0.01412177073894	0.253204384698932	1.04976534781079	196.08632221186	253	948	255.053758716868	2914	0.806522838108788
lightgbm_BO	./datasets/dataset_caba.csv	20210801 000625	0.0897022306060951	0.498015344608575	4.45581513831192	173.547086089716	412	49	255.086388109693	356	0.784024316677693
lightgbm_BO	./datasets/dataset_caba.csv	20210801 000650	0.0485853771599276	0.940625268739781	4.15112165559549	108.513056007879	25	1008	255.000589208904	774	0.818536007572797
lightgbm_BO	./datasets/dataset_caba.csv	20210801 000656	0.0661338404044675	0.957200242153236	0.0248493338585831	151.691945018579	358	891	255.060788194555	409	0.791116045232931
lightgbm_BO	./datasets/dataset_caba.csv	20210801 000700	0.0435546948338327	0.207054824461894	1.43879361662714	14.8684393714315	113	392	255.049511954451	202	0.819675344037266
lightgbm_BO	./datasets/dataset_caba.csv	20210801 000707	0.0622075098930027	0.657274610515684	0.6528649809853	45.8825869854947	115	609	255.067815226701	221	0.819434974280752
lightgbm_BO	./datasets/dataset_caba.csv	20210801 000719	0.0532665253166041	0.548784115266711	2.35884337686319	45.4851893458748	59	193	255.045008450012	472	0.823965471161552
lightgbm_BO	./datasets/dataset_caba.csv	20210801 000725	0.0613668307572481	0.596945262721409	2.0103508434347	0.359256588817469	50	17	255.005307421536	75	0.825399630582564
lightgbm_BO	./datasets/dataset_caba.csv	20210801 000732	0.0838436134946679	0.647468613576679	1.01344338593129	0.0351137864981309	56	16	255.03109220225	114	0.819390127538498
